question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
1,1,"A data organization leader is upset about the data analysis team’s reports being different from the data engineering team’s reports. The leader believes the siloed nature of their organization’s data engineering and data analysis architectures is to blame.
Which of the following describes how a data lakehouse could alleviate this issue?",Both teams would autoscale their work as data size evolves,Both teams would use the same source of truth for their work,Both teams would reorganize to report to the same department,Both teams would be able to collaborate on projects in real-time,Both teams would respond more quickly to ad-hoc requests,,B,single,5,31,https://www.examtopics.com/discussions/databricks/view/105312-exam-certified-data-engineer-associate-topic-1-question-1/,1,"Un data lakehouse combine les avantages d'un data lake et d'un data warehouse, permettant ainsi aux équipes d'ingénierie des données et d'analyse des données d'accéder à une source unique et fiable de données. Cela signifie que les deux équipes utiliseraient la même source de vérité pour leur travail, ce qui éliminerait les incohérences entre leurs rapports. Contrairement aux autres choix, comme l'autoscaling (A) ou la réorganisation des équipes (C), l'utilisation d'une source de vérité commune est la solution directe pour résoudre le problème des rapports divergents. De plus, bien que la collaboration en temps réel (D) et la réponse rapide aux demandes ad hoc (E) soient bénéfiques, elles ne traitent pas directement la question de la cohérence des données."
2,1,"A data engineer needs to determine whether to use the built-in Databricks Notebooks versioning or version their project using Databricks Repos.
Which of the following is an advantage of using Databricks Repos over the Databricks Notebooks versioning?",Databricks Repos automatically saves development progress,Databricks Repos supports the use of multiple branches,Databricks Repos allows users to revert to previous versions of a notebook,Databricks Repos provides the ability to comment on specific changes,Databricks Repos is wholly housed within the Databricks Lakehouse Platform,,B,single,5,19,https://www.examtopics.com/discussions/databricks/view/104744-exam-certified-data-engineer-associate-topic-1-question-10/,1,"La réponse correcte est B. Databricks Repos prend en charge l'utilisation de plusieurs branches. Cela permet aux ingénieurs de données de travailler sur différentes fonctionnalités ou corrections de bugs simultanément sans interférer avec la version principale du projet. Contrairement au versioning intégré des Notebooks Databricks, qui ne permet pas la gestion des branches, Databricks Repos s'intègre avec des systèmes de contrôle de version comme Git, facilitant ainsi la collaboration et le développement parallèle. Les autres choix, tels que A, C, D, et E, ne mettent pas en avant cet avantage spécifique de la gestion des branches."
3,1,"A data engineer has been given a new record of data:

id STRING = 'a1'
rank INTEGER = 6
rating FLOAT = 9.4

Which SQL commands can be used to append the new record to an existing Delta table my_table?","INSERT INTO my_table VALUES ('a1', 6, 9.4)","INSERT VALUES ('a1', 6, 9.4) INTO my_table","UPDATE my_table VALUES ('a1', 6, 9.4)","UPDATE VALUES ('a1', 6, 9.4) my_table",,,A,single,4,1,https://www.examtopics.com/discussions/databricks/view/141232-exam-certified-data-engineer-associate-topic-1-question-100/,1,"La réponse correcte est A. INSERT INTO my_table VALUES ('a1', 6, 9.4). Cette commande SQL est utilisée pour ajouter une nouvelle ligne de données dans une table existante. Elle spécifie la table cible, `my_table`, et les valeurs à insérer, correspondant aux colonnes de la table. Les choix B, C, et D ne sont pas corrects car ils ne respectent pas la syntaxe SQL standard pour l'insertion de données. En particulier, B inverse l'ordre des mots-clés, et C et D utilisent le mot-clé UPDATE, qui est destiné à modifier des enregistrements existants, pas à en ajouter de nouveaux."
4,1,"A data engineer has realized that the data files associated with a Delta table are incredibly small. They want to compact the small files to form larger files to improve performance.

Which keyword can be used to compact the small files?",OPTIMIZE,VACUUM,COMPACTION,REPARTITION,,,A,single,4,3,https://www.examtopics.com/discussions/databricks/view/141233-exam-certified-data-engineer-associate-topic-1-question-101/,1,"Le mot-clé correct pour compacter les petits fichiers associés à une table Delta est ""OPTIMIZE"". En utilisant la commande OPTIMIZE, un ingénieur de données peut regrouper les petits fichiers en fichiers plus grands, ce qui améliore les performances de lecture en réduisant le nombre de fichiers que le moteur doit traiter. Le choix B, ""VACUUM"", est utilisé pour nettoyer les fichiers obsolètes et non référencés, mais ne compacterait pas les fichiers. Les choix C, ""COMPACTION"", et D, ""REPARTITION"", ne sont pas des commandes valides pour cette opération spécifique dans le contexte des tables Delta."
5,1,"A data engineer wants to create a data entity from a couple of tables. The data entity must be used by other data engineers in other sessions. It also must be saved to a physical location.

Which of the following data entities should the data engineer create?",Table,Function,View,Temporary view,,,A,single,4,7,https://www.examtopics.com/discussions/databricks/view/142913-exam-certified-data-engineer-associate-topic-1-question-102/,1,"La bonne réponse est A. Table. Lorsqu'un ingénieur de données souhaite créer une entité de données qui doit être utilisée par d'autres ingénieurs dans différentes sessions et qui doit être enregistrée à un emplacement physique, la création d'une table est appropriée. Une table stocke les données de manière persistante et est accessible par plusieurs utilisateurs et sessions. En revanche, une vue (C. View) est une représentation logique des données qui ne stocke pas les données physiquement, et une vue temporaire (D. Temporary view) est limitée à la session actuelle et n'est pas persistante. Une fonction (B. Function) est utilisée pour encapsuler une logique réutilisable, mais ne crée pas une entité de données physique."
6,1,"A data engineer runs a statement every day to copy the previous day’s sales into the table transactions. Each day’s sales are in their own file in the location ""/transactions/raw"".

Today, the data engineer runs the following command to complete this task:

//IMG//


After running the command today, the data engineer notices that the number of records in table transactions has not changed.

What explains why the statement might not have copied any new records into the table?",The format of the files to be copied were not included with the FORMAT_OPTIONS keyword.,The COPY INTO statement requires the table to be refreshed to view the copied rows.,The previous day’s file has already been copied into the table.,The PARQUET file format does not support COPY INTO.,,,C,single,4,1,https://www.examtopics.com/discussions/databricks/view/141235-exam-certified-data-engineer-associate-topic-1-question-103/,2,"La réponse correcte est C. Le fichier de la veille a déjà été copié dans la table. La commande COPY INTO est conçue pour éviter la duplication des données en ne copiant que les fichiers qui n'ont pas encore été traités. Si le fichier du jour précédent a déjà été copié, la commande ne copiera pas à nouveau les mêmes données, ce qui explique pourquoi le nombre d'enregistrements dans la table transactions n'a pas changé. Les autres choix ne sont pas corrects : A est incorrect car le format des fichiers est souvent implicite ou déjà configuré, B est incorrect car la table n'a pas besoin d'être actualisée pour voir les nouvelles lignes, et D est incorrect car le format PARQUET est compatible avec la commande COPY INTO."
7,1,Which command can be used to write data into a Delta table while avoiding the writing of duplicate records?,DROP,INSERT,MERGE,APPEND,,,C,single,4,2,https://www.examtopics.com/discussions/databricks/view/141234-exam-certified-data-engineer-associate-topic-1-question-104/,2,"La commande correcte pour écrire des données dans une table Delta tout en évitant l'écriture de doublons est ""MERGE"", ce qui correspond au choix C. La commande MERGE permet de fusionner les données sources avec les données cibles en fonction de conditions spécifiques, et elle peut être utilisée pour insérer, mettre à jour ou supprimer des enregistrements en fonction de ces conditions. Contrairement à INSERT (choix B) et APPEND (choix D), qui ajoutent simplement des données sans vérification des doublons, MERGE offre la possibilité de gérer les doublons en définissant des règles de correspondance. La commande DROP (choix A) n'est pas pertinente dans ce contexte car elle est utilisée pour supprimer des objets de la base de données, pas pour écrire des données."
8,1,"A data analyst has created a Delta table sales that is used by the entire data analysis team. They want help from the data engineering team to implement a series of tests to ensure the data is clean. However, the data engineering team uses Python for its tests rather than SQL.

Which command could the data engineering team use to access sales in PySpark?",SELECT * FROM sales,"spark.table(""sales"")","spark.sql(""sales"")","spark.delta.table(""sales"")",,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/141236-exam-certified-data-engineer-associate-topic-1-question-105/,2,"La commande correcte pour accéder à une table Delta nommée ""sales"" dans PySpark est B. spark.table(""sales""). Cette méthode permet de charger une table existante dans un DataFrame PySpark, ce qui est idéal pour les tests et les manipulations de données en Python. L'option A, SELECT * FROM sales, est une commande SQL qui ne peut pas être utilisée directement dans PySpark sans être encapsulée dans une commande spark.sql(). L'option C, spark.sql(""sales""), est incorrecte car elle nécessite une requête SQL complète, comme SELECT * FROM sales. Enfin, l'option D, spark.delta.table(""sales""), n'est pas une méthode valide dans PySpark pour accéder à une table Delta."
9,1,"A data engineer has created a new database using the following command:

CREATE DATABASE IF NOT EXISTS customer360;

In which location will the customer360 database be located?",dbfs:/user/hive/database/customer360,dbfs:/user/hive/warehouse,dbfs:/user/hive/customer360,dbfs:/user/hive/database,,,B,single,4,2,https://www.examtopics.com/discussions/databricks/view/141237-exam-certified-data-engineer-associate-topic-1-question-106/,2,"La commande CREATE DATABASE IF NOT EXISTS crée une nouvelle base de données dans l'emplacement par défaut du système de gestion de bases de données, qui est généralement le répertoire de l'entrepôt de données. Dans le contexte de Databricks et de Hive, cet emplacement par défaut est souvent dbfs:/user/hive/warehouse. Ainsi, la base de données customer360 sera située dans ce répertoire, ce qui correspond à l'option B. Les autres choix (A, C, D) ne représentent pas l'emplacement standard pour les bases de données créées par défaut dans cet environnement."
10,1,"A data engineer is attempting to drop a Spark SQL table my_table and runs the following command:

DROP TABLE IF EXISTS my_table;

After running this command, the engineer notices that the data files and metadata files have been deleted from the file system.

What is the reason behind the deletion of all these files?",The table was managed,The table's data was smaller than 10 GB,The table did not have a location,The table was external,,,A,single,4,9,https://www.examtopics.com/discussions/databricks/view/140233-exam-certified-data-engineer-associate-topic-1-question-107/,2,"La raison pour laquelle les fichiers de données et de métadonnées ont été supprimés est que la table était une table gérée (réponse A). Dans Spark SQL, une table gérée signifie que Spark est responsable de la gestion des données et des métadonnées associées. Lorsqu'une table gérée est supprimée avec la commande DROP TABLE, Spark supprime également tous les fichiers de données et de métadonnées associés. Les autres choix ne sont pas corrects : une table externe (réponse D) ne supprimerait pas les fichiers, et la taille des données (réponse B) ou l'absence d'emplacement spécifique (réponse C) n'affecteraient pas le comportement de suppression des fichiers."
