question_id,topic,question_text,choices,nb_choices,answer,answer_ET,answers_community,nb_comments,url,page
1,1,"A data organization leader is upset about the data analysis team’s reports being different from the data engineering team’s reports. The leader believes the siloed nature of their organization’s data engineering and data analysis architectures is to blame.
Which of the following describes how a data lakehouse could alleviate this issue?","A. Both teams would autoscale their work as data size evolves
B. Both teams would use the same source of truth for their work
C. Both teams would reorganize to report to the same department
D. Both teams would be able to collaborate on projects in real-time
E. Both teams would respond more quickly to ad-hoc requests",5,B,B,B (94%) | 6%,31,https://www.examtopics.com/discussions/databricks/view/105312-exam-certified-data-engineer-associate-topic-1-question-1/,1
2,1,"A data engineer needs to determine whether to use the built-in Databricks Notebooks versioning or version their project using Databricks Repos.
Which of the following is an advantage of using Databricks Repos over the Databricks Notebooks versioning?","A. Databricks Repos automatically saves development progress
B. Databricks Repos supports the use of multiple branches
C. Databricks Repos allows users to revert to previous versions of a notebook
D. Databricks Repos provides the ability to comment on specific changes
E. Databricks Repos is wholly housed within the Databricks Lakehouse Platform",5,B,B,B (100%),19,https://www.examtopics.com/discussions/databricks/view/104744-exam-certified-data-engineer-associate-topic-1-question-10/,1
3,1,"A data engineer has been given a new record of data:

id STRING = 'a1'
rank INTEGER = 6
rating FLOAT = 9.4

Which SQL commands can be used to append the new record to an existing Delta table my_table?","A. INSERT INTO my_table VALUES ('a1', 6, 9.4)
B. INSERT VALUES ('a1', 6, 9.4) INTO my_table
C. UPDATE my_table VALUES ('a1', 6, 9.4)
D. UPDATE VALUES ('a1', 6, 9.4) my_table",4,A,A,,1,https://www.examtopics.com/discussions/databricks/view/141232-exam-certified-data-engineer-associate-topic-1-question-100/,1
4,1,"A data engineer has realized that the data files associated with a Delta table are incredibly small. They want to compact the small files to form larger files to improve performance.

Which keyword can be used to compact the small files?","A. OPTIMIZE
B. VACUUM
C. COMPACTION
D. REPARTITION",4,A,A,A (100%),3,https://www.examtopics.com/discussions/databricks/view/141233-exam-certified-data-engineer-associate-topic-1-question-101/,1
5,1,"A data engineer wants to create a data entity from a couple of tables. The data entity must be used by other data engineers in other sessions. It also must be saved to a physical location.

Which of the following data entities should the data engineer create?","A. Table
B. Function
C. View
D. Temporary view",4,A,A,A (75%) | C (25%),7,https://www.examtopics.com/discussions/databricks/view/142913-exam-certified-data-engineer-associate-topic-1-question-102/,1
6,1,"A data engineer runs a statement every day to copy the previous day’s sales into the table transactions. Each day’s sales are in their own file in the location ""/transactions/raw"".

Today, the data engineer runs the following command to complete this task:

//IMG//


After running the command today, the data engineer notices that the number of records in table transactions has not changed.

What explains why the statement might not have copied any new records into the table?","A. The format of the files to be copied were not included with the FORMAT_OPTIONS keyword.
B. The COPY INTO statement requires the table to be refreshed to view the copied rows.
C. The previous day’s file has already been copied into the table.
D. The PARQUET file format does not support COPY INTO.",4,C,C,,1,https://www.examtopics.com/discussions/databricks/view/141235-exam-certified-data-engineer-associate-topic-1-question-103/,2
7,1,Which command can be used to write data into a Delta table while avoiding the writing of duplicate records?,"A. DROP
B. INSERT
C. MERGE
D. APPEND",4,C,C,C (100%),2,https://www.examtopics.com/discussions/databricks/view/141234-exam-certified-data-engineer-associate-topic-1-question-104/,2
8,1,"A data analyst has created a Delta table sales that is used by the entire data analysis team. They want help from the data engineering team to implement a series of tests to ensure the data is clean. However, the data engineering team uses Python for its tests rather than SQL.

Which command could the data engineering team use to access sales in PySpark?","A. SELECT * FROM sales
B. spark.table(""sales"")
C. spark.sql(""sales"")
D. spark.delta.table(""sales"")",4,B,B,,1,https://www.examtopics.com/discussions/databricks/view/141236-exam-certified-data-engineer-associate-topic-1-question-105/,2
9,1,"A data engineer has created a new database using the following command:

CREATE DATABASE IF NOT EXISTS customer360;

In which location will the customer360 database be located?","A. dbfs:/user/hive/database/customer360
B. dbfs:/user/hive/warehouse
C. dbfs:/user/hive/customer360
D. dbfs:/user/hive/database",4,B,B,B (100%),2,https://www.examtopics.com/discussions/databricks/view/141237-exam-certified-data-engineer-associate-topic-1-question-106/,2
10,1,"A data engineer is attempting to drop a Spark SQL table my_table and runs the following command:

DROP TABLE IF EXISTS my_table;

After running this command, the engineer notices that the data files and metadata files have been deleted from the file system.

What is the reason behind the deletion of all these files?","A. The table was managed
B. The table's data was smaller than 10 GB
C. The table did not have a location
D. The table was external",4,A,A,A (100%),9,https://www.examtopics.com/discussions/databricks/view/140233-exam-certified-data-engineer-associate-topic-1-question-107/,2
